Replicate,Heterogeneity model,Tree length,LnL gamma rates,LnL free rates,LnL phyloRNN rates,LnL true rates
146,Spike-and-slab_uncorrelated,3.228,-14166.190,-13880.360,-13546.840,-13604.797
147,GBM_autocorrelated,5.484,-24624.330,-24623.140,-24493.855,-24543.619
148,GBM_autocorrelated,1.337,-8765.960,-8764.680,-8590.597,-8634.527
149,Spike-and-slab_uncorrelated,0.247,-3244.030,-3242.090,-3202.516,-3213.752
150,Gamma_autocorrelated,0.491,-4587.000,-4571.030,-4167.739,-4188.351
151,Spike-and-slab_uncorrelated,0.654,-5720.980,-5718.950,-5678.682,-5670.114
152,Bimodal_uncorrelated,0.028,-1656.670,-1656.550,-1632.396,-1635.051
153,GBM_autocorrelated,3.918,-18993.680,-18992.500,-18922.612,-18962.725
154,Bimodal_uncorrelated,0.709,-6030.020,-6029.760,-5981.515,-6010.501
155,Gamma_autocorrelated,0.465,-4407.790,-4402.680,-4111.040,-4145.350
156,Spike-and-slab_uncorrelated,1.506,-10148.000,-10103.950,-9877.813,-9972.780
157,GBM_uncorrelated,0.695,-5920.910,-5919.650,-5596.713,-5660.875
158,Codon_uncorrelated,6.602,-25779.870,-25725.790,-25196.468,-25213.225
159,Bimodal_autocorrelated,2.856,-13947.400,-13743.980,-13195.175,-13074.392
160,Bimodal_autocorrelated,3.946,-19000.680,-18998.470,-18822.873,-18881.971
161,mixed_model_mixed_model,5.906,-41224.700,-40060.610,-42965.377,
162,Spike-and-slab_autocorrelated,0.033,-1449.180,-1449.140,-1436.386,-1449.612
163,Gamma_uncorrelated,0.109,-2261.600,-2260.520,-2212.614,-2214.855
164,Spike-and-slab_uncorrelated,1.015,-6585.740,-6565.910,-6463.551,-6443.948
165,Spike-and-slab_autocorrelated,0.438,-4339.640,-4339.420,-4296.582,-4321.197
166,Bimodal_autocorrelated,0.152,-2573.750,-2573.720,-2485.621,-2469.526
167,Bimodal_autocorrelated,1.157,-8134.160,-8098.930,-7602.518,-7575.186
168,Bimodal_uncorrelated,6.385,-22297.430,-21944.800,-21228.861,-21254.517
169,Spike-and-slab_autocorrelated,0.795,-6682.040,-6680.870,-6640.943,-6665.894
170,Gamma_autocorrelated,2.910,-12959.800,-12910.540,-12165.286,-12162.400
171,Gamma_autocorrelated,0.026,-1626.190,-1626.160,-1585.958,-1602.637
172,GBM_autocorrelated,2.316,-12676.100,-12674.500,-12541.092,-12583.362
173,Codon_uncorrelated,0.506,-4832.350,-4832.190,-4689.716,-4702.499
174,Bimodal_autocorrelated,0.042,-1662.860,-1662.470,-1644.263,-1644.543
175,Bimodal_uncorrelated,0.032,-1613.970,-1613.940,-1599.359,-1601.238
176,Codon_uncorrelated,0.388,-3993.020,-3991.260,-3823.788,-3816.722
177,Bimodal_autocorrelated,1.342,-9226.070,-9225.110,-9183.320,-9175.597
178,GBM_autocorrelated,0.140,-2343.560,-2343.140,-2316.658,-2339.355
179,GBM_autocorrelated,0.337,-3873.120,-3872.870,-3835.560,-3863.175
180,Bimodal_autocorrelated,0.070,-1913.560,-1912.720,-1872.974,-1882.886
181,GBM_uncorrelated,4.872,-19164.000,-19156.230,-18344.100,-18335.325
182,Spike-and-slab_autocorrelated,0.143,-2665.590,-2663.900,-2620.513,-2658.931
183,Bimodal_autocorrelated,1.908,-10663.250,-10662.830,-10574.434,-10557.085
184,Spike-and-slab_uncorrelated,0.022,-1550.100,-1549.850,-1529.530,-1549.419
185,GBM_autocorrelated,4.591,-20565.680,-20564.610,-20413.187,-20451.521
186,Bimodal_autocorrelated,2.178,-11419.950,-11298.030,-10642.730,-10629.359
187,Gamma_uncorrelated,0.626,-5009.300,-4944.720,-4516.499,-4508.279
188,Gamma_autocorrelated,8.968,-27525.700,-27526.020,-26562.562,-26527.200
189,Bimodal_autocorrelated,1.042,-7207.390,-7206.890,-6779.348,-6829.482
190,mixed_model_mixed_model,17.508,-30487.410,-30243.370,-30878.718,-34729.817
191,Spike-and-slab_uncorrelated,1.912,-11723.060,-11705.560,-11667.753,-11650.194
192,Bimodal_autocorrelated,0.035,-1750.080,-1749.790,-1728.821,-1749.976
193,GBM_autocorrelated,15.446,-39966.580,-39965.960,-39789.865,-39831.572
194,Gamma_uncorrelated,0.230,-3269.970,-3268.600,-3099.193,-3202.406
195,GBM_uncorrelated,21.332,-45778.100,-45750.480,-45823.837,-45133.871
196,Bimodal_autocorrelated,1.008,-7467.290,-7467.140,-7411.803,-7411.456
